Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,1231331113,,text,Record ID,,,,,,,,,,,,,
dados_de_identificacao_e,1231331113,,descriptive,Dados de Identificação e Sociodemográficos,,,,,,,,,,,,,
data_de_entrevista,1231331113,,text,Data de entrevista,,,date_dmy,,,,,,,,,,
prontuario,1231331113,,text,Prontuário,,,,,,,,,,,,,
nome,1231331113,,text,Nome,,,,,,,,,,,,,
telefone,1231331113,,text,Telefone,,,phone,,,,,,,,,,
data_de_nascimento,1231331113,,text,Data de nascimento,,,date_dmy,,,,,,,,,,
sexo,1231331113,,radio,Sexo,"1, Feminino | 2, Masculino",,,,,,,,,,,,
idade_anos,1231331113,,text,Idade (anos),,,number,0,120,,,,,,,,
naturalidade,1231331113,,text,Naturalidade,,,number,0,120,,,,,,,,
profissao,1231331113,,text,Profissão,,,,,,,,,,,,,
cor_autoreferida,1231331113,,radio,Cor auto-referida,"1, Branca | 2, Preta | 3, Parda/mulata | 4, Amarela/oriental | 5, Indígena",,,,,,,,,,,,
estado_civil,1231331113,,radio,Estado Civil,"1, Solteiro | 2, Casado | 3, Separado/Divorciado | 4, União Estável",,,,,,,,,,,,
escolaridade,1231331113,,dropdown,Escolaridade,"1, Ensino Fundamental Completo | 2, Ensino Fundamental Incompleto | 3, Ensino Médio Incompleto | 4, Ensino Médio Completo | 5, Ensino Superior Incompleto | 6, Ensino Superior Completo | 7, Pós-graduado Completo | 8, Não se aplica",,,,,,,,,,,,
sinais_e_sintomas,1231331113,,descriptive,Sinais e Sintomas,,,,,,,,,,,,,
sinais_e_sintomas_1,1231331113,,text,Sinais e sintomas,,,,,,,,,,,,,
antecedentes_morbidos_pes,1231331113,,descriptive,Antecedentes Mórbidos Pessoais,,,,,,,,,,,,,
